partname,partsite,unitofmeasure,factor,integration_id,execution_id,workflow_execution_id,create_timestamp,last_updated_timestamp,record_key_hash
BA018383,EMBOTELLADORA_LA_NACIONAL_2060890,CJE,0.5,null,305a376f-8e4b-49c9-9724-332bea55780f,c441ccb5-37ea-441f-82d6-b9f02a932d49,null,null,726cf9e70a34a6b3babd7ad6a8ea2f1e61765a87c272945c4ddf4a4fcbf89c07
BA022757,REFRESCO_66385,UN,24,null,305a376f-8e4b-49c9-9724-332bea55780f,c441ccb5-37ea-441f-82d6-b9f02a932d49,null,null,3ad974192dcb225f8d76503622ebd9b9badd768d565ca7e1a057c543bfb42def
BA020908,CBC_PERUANA_66339,PAL,0.00909090909090909,null,305a376f-8e4b-49c9-9724-332bea55780f,c441ccb5-37ea-441f-82d6-b9f02a932d49,null,null,e7cedd8268e53ed408cfa4fe2d7b81f78f21454c167736764b505900538907ba
BA017896,THE_TESALIA_30001,CJE,1,null,305a376f-8e4b-49c9-9724-332bea55780f,c441ccb5-37ea-441f-82d6-b9f02a932d49,null,null,83a06d789b6623689edf9117ca451a682f6fb7a4b0e7657e928404e79f581e73
BA020171,MARES_2060885,CJE,0.25,null,305a376f-8e4b-49c9-9724-332bea55780f,c441ccb5-37ea-441f-82d6-b9f02a932d49,null,null,0ff0436d8af382a10110c0ddb989553418c4fae2df178619591afae87f194d53
BA020720,THE_TESALIA_30001,PAL,0.022727272727272728,null,305a376f-8e4b-49c9-9724-332bea55780f,c441ccb5-37ea-441f-82d6-b9f02a932d49,null,null,f756b67b741a0b8d06942de9ae031c1201d1b7a9ca9285bd04646cb16950aca5
BA023398,PEPSICOLA_PUERTO_RICO_66336,CS,1,null,305a376f-8e4b-49c9-9724-332bea55780f,c441ccb5-37ea-441f-82d6-b9f02a932d49,null,null,117497724232043cb6b5a159853d384178cbff2c80669458f33f5e6b6b5b4ccc
BA017959,PEPSICOLA_PUERTO_RICO_66336,UN,24,null,305a376f-8e4b-49c9-9724-332bea55780f,c441ccb5-37ea-441f-82d6-b9f02a932d49,null,null,49122b8e296eb01f06805729f92b122c9780af8ec715ae3c236b02a6dcde0085
BA013080,THE_TESALIA_30001,PAL,0.03333333333333333,null,305a376f-8e4b-49c9-9724-332bea55780f,c441ccb5-37ea-441f-82d6-b9f02a932d49,null,null,0db34240b975ab1fd900d237245980718347675c69eabef7a8788967c088123a
BA021502,THE_TESALIA_30001,CJE,0.5,null,305a376f-8e4b-49c9-9724-332bea55780f,c441ccb5-37ea-441f-82d6-b9f02a932d49,null,null,7ecac6008ce7dfbc33b02c7856d2d558152eac119ad713f7fe5989300fbd40b2
BA000868,THE_TESALIA_30001,UN,12,null,305a376f-8e4b-49c9-9724-332bea55780f,c441ccb5-37ea-441f-82d6-b9f02a932d49,null,null,baa66286158561ff26bf86b39358685049d07b682f02719f243702b940744588
BA007994,PEPSICOLA_JAMAICA_30002,PAL,0.020833333333333332,null,305a376f-8e4b-49c9-9724-332bea55780f,c441ccb5-37ea-441f-82d6-b9f02a932d49,null,null,6f3612a7981b4817100d9714a87d78904a70e946fb317ee14d5708d2ebe4cd72
BA022623,REFRESCO_66385,PAL,0.008333333333333333,null,305a376f-8e4b-49c9-9724-332bea55780f,c441ccb5-37ea-441f-82d6-b9f02a932d49,null,null,2de4a5737801e7eee8dfe2702df269b505c3b789e2c23acac6ad8ffed672a31a
BA000367,THE_TESALIA_30001,CJE,0.5,null,305a376f-8e4b-49c9-9724-332bea55780f,c441ccb5-37ea-441f-82d6-b9f02a932d49,null,null,f38bf4c4718ec756895e4611be6c0fc8fc5fa775258f5f8b63b63103b48f1010
BA023079,THE_TESALIA_30001,CJE,1,null,305a376f-8e4b-49c9-9724-332bea55780f,c441ccb5-37ea-441f-82d6-b9f02a932d49,null,null,37bf8d7a3411f3ed8b9580f6eb42abd76acf11a41d5ea04f2d2fceececfdae79
BA017375,TRANSMUNDI_2067820,UN,24,null,305a376f-8e4b-49c9-9724-332bea55780f,c441ccb5-37ea-441f-82d6-b9f02a932d49,null,null,c3154cbc1ed8b151e2a8c4db7ba6f79bb72b354d11c00f159d2e4b0bc050d45e
BA022909,CORRIPIO_66274,PAL,0.008928571428571428,null,305a376f-8e4b-49c9-9724-332bea55780f,c441ccb5-37ea-441f-82d6-b9f02a932d49,null,null,3cf482cb37f792b7aff26e6e431018db83daccdf52677b0478720abecc98c2a7
