workflow_id,workflow_name,task_name,env,version,params_json,checksum,is_current,valid_from,valid_to
686382146878830,wf_gold_stockout,load_gold_stockout,prd,1,"{""target_table"":""beliv_prd.synexis.gold_stockout"",""tbl_part"":""beliv_prd.synexis.gold_part_master""}",null,true,null,null
690159663656437,wf_gold_part_source,load_gold_part_source,prd,1,"{""table_name"":""beliv_prd.synexis.gold_part_source_buy"",""target_table"":""beliv_prd.synexis.gold_part_source"",""tbl_partsourcemake"":""beliv_prd.synexis.gold_part_source_make"",""tbl_partsourcetransfer"":""beliv_prd.synexis.gold_part_source_transfer"",""supplier_table"":""beliv_prd.synexis.gold_supplier""}",null,true,null,null
904560834006368,wf_gold_part_customer,load_gold_part_customer,prd,1,"{""target_table"":""beliv_prd.synexis.gold_part_customer"",""gold_part_master"":""beliv_prd.synexis.gold_part_master""}",null,true,null,null
292396691365634,wf_gold_currency_conversion_forecast,load_gold_currency_conversion_forecast,prd,1,"{""target_table"":""beliv_prd.synexis.gold_currency_conversion_forecast""}",null,true,null,null
880200725522953,wf_gold_currency_conversion_actual,load_gold_currency_conversion_actual,prd,1,"{""target_table"":""beliv_prd.synexis.gold_currency_conversion_actual""}",null,true,null,null
295248585805575,wf_bronze_schedule_receipt_requisition,load_bronze_schedule_receipt_requisition,prd,1,"{""target_table"":""beliv_prd.synexis.bronze_schedule_receipt_requisition""}",null,true,null,null
681708534589022,wf_gold_part_uom_conversion,load_gold_part_uom_conversion,prd,1,"{""target_table"":""beliv_prd.synexis.gold_part_uom_conversion""}",null,true,null,null
791765044547810,wf_gold_calendar_date_dim,load_gold_calendar_date_dim,prd,1,"{""table_name"":""beliv_prd.synexis.gold_calendar_date_dim"",""target_table"":""beliv_prd.synexis.gold_calendar_date_dim""}",null,true,null,null
164329534284513,wf_gold_unit_of_measure,load_gold_unit_of_measure,prd,1,"{""target_table"":""beliv_prd.synexis.gold_unit_of_measure""}",null,true,null,null
537337888260854,wf_gold_customer_master,load_gold_customer_master,prd,1,"{""target_table"":""beliv_prd.synexis.gold_customer_master""}",null,true,null,null
990966218300128,wf_gold_site_master,load_gold_site_master,prd,1,"{""target_table"":""beliv_prd.synexis.gold_site_master""}",null,true,null,null
681103412317743,wf_bronze_synaxis_cost_per_unit,load_bronze_synaxis_cost_per_unit,prd,1,"{""target_table"":""beliv_prd.synexis.bronze_synaxis_cost_per_unit""}",null,true,null,null
23621294459416,wf_gold_part_master,upload_gold_part_master,prd,1,"{""base_dir_prefix"":""BLVP02_PRD01/Extract/Beliv"",""workflow_config"":""beliv_prd.synexis.workflow_config"",""workflow_execution_log"":""beliv_prd.synexis.workflow_execution_log"",""file_header"":""true""}",null,true,null,null
540033879836015,wf_gold_historical_demand_actual,upload_gold_historical_demand_actual,prd,1,"{""base_dir_prefix"":""BLVP02_PRD01/Extract/Beliv"",""workflow_config"":""beliv_prd.synexis.workflow_config"",""workflow_execution_log"":""beliv_prd.synexis.workflow_execution_log"",""file_header"":""true""}",null,true,null,null
610268748648100,wf_gold_bill_of_material,upload_gold_bill_of_material,prd,1,"{""base_dir_prefix"":""BLVP02_PRD01/Extract/Beliv"",""workflow_config"":""beliv_prd.synexis.workflow_config"",""workflow_execution_log"":""beliv_prd.synexis.workflow_execution_log"",""file_header"":""true""}",null,true,null,null
245368066493166,wf_gold_part_source_make,upload_gold_part_source_make,prd,1,"{""base_dir_prefix"":""BLVP02_PRD01/Extract/Beliv"",""workflow_config"":""beliv_prd.synexis.workflow_config"",""workflow_execution_log"":""beliv_prd.synexis.workflow_execution_log"",""file_header"":""true""}",null,true,null,null
483946622815596,wf_gold_ScheduledReceiptRequisition,upload_gold_ScheduledReceiptRequisition,prd,1,"{""base_dir_prefix"":""BLVP02_PRD01/Extract/Beliv"",""workflow_config"":""beliv_prd.synexis.workflow_config"",""workflow_execution_log"":""beliv_prd.synexis.workflow_execution_log"",""file_header"":""true""}",null,true,null,null
775632455910372,wf_gold_part_source_buy,upload_gold_part_source_buy,prd,1,"{""base_dir_prefix"":""BLVP02_PRD01/Extract/Beliv"",""workflow_config"":""beliv_prd.synexis.workflow_config"",""workflow_execution_log"":""beliv_prd.synexis.workflow_execution_log"",""file_header"":""true""}",null,true,null,null
1040122872095691,wf_gold_part_source_transfer,upload_gold_part_source_transfer,prd,1,"{""base_dir_prefix"":""BLVP02_PRD01/Extract/Beliv"",""workflow_config"":""beliv_prd.synexis.workflow_config"",""workflow_execution_log"":""beliv_prd.synexis.workflow_execution_log"",""file_header"":""true""}",null,true,null,null
537337888260854,wf_gold_customer_master,upload_gold_customer_master,prd,1,"{""base_dir_prefix"":""BLVP02_PRD01/Extract/Beliv"",""workflow_config"":""beliv_prd.synexis.workflow_config"",""workflow_execution_log"":""beliv_prd.synexis.workflow_execution_log"",""file_header"":""true""}",null,true,null,null
904560834006368,wf_gold_part_customer,upload_gold_part_customer,prd,1,"{""base_dir_prefix"":""BLVP02_PRD01/Extract/Beliv"",""workflow_config"":""beliv_prd.synexis.workflow_config"",""workflow_execution_log"":""beliv_prd.synexis.workflow_execution_log"",""file_header"":""true""}",null,true,null,null
686382146878830,wf_gold_stockout,upload_gold_stockout,prd,1,"{""base_dir_prefix"":""BLVP02_PRD01/Extract/Beliv"",""workflow_config"":""beliv_prd.synexis.workflow_config"",""workflow_execution_log"":""beliv_prd.synexis.workflow_execution_log"",""file_header"":""true""}",null,true,null,null
690159663656437,wf_gold_part_source,upload_gold_part_source,prd,1,"{""base_dir_prefix"":""BLVP02_PRD01/Extract/Beliv"",""workflow_config"":""beliv_prd.synexis.workflow_config"",""workflow_execution_log"":""beliv_prd.synexis.workflow_execution_log"",""file_header"":""true""}",null,true,null,null
