batch_execution_id,batch_name,start_time,end_time,status,total_workflows,successful_workflows,failed_workflows,skipped_workflows,error_message,last_updated_at,executed_workflows
BATCH_20260122_042942_da54e4,Monthly Databricks Batch - Synexis,2026-01-22T04:29:42.816Z,2026-01-22T04:36:29.936Z,Failed,13,3,1,0,Layer 'GOLD_MASTER' failed: Layer GOLD_MASTER (index 0) failed with 1 failed workflows out of 4 total workflows. Stopping batch execution due to fail-fast policy.,2026-01-22T04:36:15.824Z,null
BATCH_20260122_032709_066be7,Monthly Databricks Batch - Synexis,2026-01-22T03:27:09.419Z,2026-01-22T03:41:35.386Z,Success,8,9,0,0,null,2026-01-22T03:41:18.781Z,null
BATCH_20260122_030529_ac68c6,Monthly Databricks Batch - Synexis,2026-01-22T03:05:29.725Z,2026-01-22T03:14:22.685Z,Failed,15,6,1,0,Layer 'GOLD_MASTER' failed: Layer GOLD_MASTER (index 1) failed with 1 failed workflows out of 4 total workflows. Stopping batch execution due to fail-fast policy.,2026-01-22T03:14:08.867Z,null
BATCH_20260122_023621_e254fd,Daily Databricks Batch - Synexis,2026-01-22T02:36:21.852Z,2026-01-22T02:47:30.722Z,Success,12,12,0,0,null,2026-01-22T02:47:16.235Z,null
BATCH_20260122_020034_5736be,Daily Databricks Batch - Synexis,2026-01-22T02:00:34.316Z,2026-01-22T02:22:31.550Z,Failed,12,7,1,0,Layer 'SILVER' failed: Layer SILVER (index 0) failed with 1 failed workflows out of 8 total workflows. Stopping batch execution due to fail-fast policy.,2026-01-22T02:22:13.913Z,null
BATCH_20260121_200029_943c7b,Monthly Databricks Batch - Synexis,2026-01-21T20:00:29.941Z,2026-01-21T20:33:07.767Z,Success,15,16,0,0,null,2026-01-21T20:32:40.304Z,null
BATCH_20260121_050833_fe754e,Daily Databricks Batch - Synexis,2026-01-21T05:08:33.868Z,2026-01-21T05:33:51.637Z,Success,12,12,0,0,null,2026-01-21T05:33:36.625Z,null
BATCH_20260121_020039_cc14ec,Daily Databricks Batch - Synexis,2026-01-21T02:00:39.669Z,2026-01-21T02:14:16.319Z,Failed,20,10,1,0,Layer 'SILVER' failed: Layer SILVER (index 1) failed with 1 failed workflows out of 8 total workflows. Stopping batch execution due to fail-fast policy.,2026-01-21T02:13:59.705Z,null
BATCH_20260120_200032_998e52,Monthly Databricks Batch - Synexis,2026-01-20T20:00:32.651Z,2026-01-20T20:28:15.622Z,Success,15,15,0,0,null,2026-01-20T20:27:58.098Z,null
BATCH_20260120_035005_095947,Daily Databricks Batch - Synexis,2026-01-20T03:50:05.978Z,2026-01-20T04:06:37.520Z,Success,20,20,0,0,null,2026-01-20T04:06:11.783Z,null
BATCH_20260120_020031_e09e4c,Daily Databricks Batch - Synexis,2026-01-20T02:00:31.227Z,2026-01-20T02:28:31.785Z,Success,20,20,0,0,null,2026-01-20T02:28:18.776Z,null
BATCH_20260119_200034_b9ccfe,Monthly Databricks Batch - Synexis,2026-01-19T20:00:35.028Z,2026-01-19T20:30:23.552Z,Success,15,15,0,0,null,2026-01-19T20:30:07.023Z,null
BATCH_20260119_020030_3f5d6b,Daily Databricks Batch - Synexis,2026-01-19T02:00:30.142Z,2026-01-19T02:23:14.781Z,Success,20,20,0,0,null,2026-01-19T02:22:57.571Z,null
BATCH_20260119_014059_b39f22,Monthly Databricks Batch - Synexis,2026-01-19T01:40:59.743Z,2026-01-19T02:01:36.516Z,Success,15,16,0,0,null,2026-01-19T02:01:15.089Z,null
BATCH_20260119_011138_7d6079,Daily Databricks Batch - Synexis,2026-01-19T01:11:39.088Z,2026-01-19T01:28:32.438Z,Success,20,20,0,0,null,2026-01-19T01:28:17.521Z,null
BATCH_20260118_200040_ef23a9,Monthly Databricks Batch - Synexis,2026-01-18T20:00:40.300Z,2026-01-18T20:35:41.688Z,Success,15,15,0,0,null,2026-01-18T20:35:25.081Z,null
BATCH_20260118_020039_a9b590,Daily Databricks Batch - Synexis,2026-01-18T02:00:39.517Z,2026-01-18T02:33:36.971Z,Success,20,20,0,0,null,2026-01-18T02:33:23.611Z,null
BATCH_20260117_200028_0d6fbc,Monthly Databricks Batch - Synexis,2026-01-17T20:00:29.080Z,2026-01-17T20:31:39.952Z,Success,15,15,0,0,null,2026-01-17T20:31:10.592Z,null
BATCH_20260117_020035_d7a589,Daily Databricks Batch - Synexis,2026-01-17T02:00:35.830Z,2026-01-17T02:34:43.096Z,Success,20,20,0,0,null,2026-01-17T02:34:23.567Z,null
