material,id_producing_plant,cod_cliente,tipo_costo,mes,year,valor,integration_id,record_key_hash,execution_id,create_timestamp,last_updated_timestamp
BA003863,SP00,2060885,FREIGHT,9,2026,0,BA003863~SP00~2060885~FREIGHT~2026~9,fea3462d7f2b5de33dfaaa7210640ec669e9ada0f519da775ce31196e46b8f1c,c51d6be6-a137-435f-be48-71f7a9500549,2026-02-20T14:16:34.884Z,2026-02-25T12:17:45.205Z
BA006326,NP00,2060890,RAW MATERIALS,8,2026,0,BA006326~NP00~2060890~RAW MATERIALS~2026~8,28bb07a624fd8e7d65baf662d004e03936cf4d3bbd96dc68f131a98245b3b78c,c51d6be6-a137-435f-be48-71f7a9500549,2026-02-20T14:16:34.884Z,2026-02-25T12:17:45.205Z
BA005993,400000105,30001,PRODUCTION FEE,6,2026,0,BA005993~400000105~30001~PRODUCTION FEE~2026~6,34ceb66da7cf66ea643ae2337e7c376db155afd8f1d915841ffd2fa83adc6d94,c51d6be6-a137-435f-be48-71f7a9500549,2026-02-20T14:16:34.884Z,2026-02-25T12:17:45.205Z
BA003863,SP00,66328,PRODUCTION FEE,6,2026,0,BA003863~SP00~66328~PRODUCTION FEE~2026~6,7573e961fd5c13127289cfc72f72657ac17623a7581267a18e9a1cf87d2b3008,c51d6be6-a137-435f-be48-71f7a9500549,2026-02-20T14:16:34.884Z,2026-02-25T12:17:45.205Z
AA130228,NP00,2060890,RAW MATERIALS,2,2026,0,AA130228~NP00~2060890~RAW MATERIALS~2026~2,09cbd817a240397448f448f532cf2430c144f8ca2879ef7a6ae6d1ec9eeeca9c,c51d6be6-a137-435f-be48-71f7a9500549,2026-02-20T14:16:34.884Z,2026-02-25T12:17:45.205Z
BA001842,NP00,2060890,STRATEGIC MATERIALS,6,2026,0,BA001842~NP00~2060890~STRATEGIC MATERIALS~2026~6,e5b61c87d5cca44a39177d651293c61799598a3a7f618e29699c370344c2b6df,c51d6be6-a137-435f-be48-71f7a9500549,2026-02-20T14:16:34.884Z,2026-02-25T12:17:45.205Z
BA005993,400000105,30001,PRODUCTION FEE,3,2026,0,BA005993~400000105~30001~PRODUCTION FEE~2026~3,841969359951ce7116fa341066309dfb01fb847e1f105b91501d488bb586ecd0,c51d6be6-a137-435f-be48-71f7a9500549,2026-02-20T14:16:34.884Z,2026-02-25T12:17:45.205Z
AA279081,SP00,66317,STRATEGIC MATERIALS,12,2026,0.47531060681947807,AA279081~SP00~66317~STRATEGIC MATERIALS~2026~12,4dac11950147793f4b5c3104821c6011ff51c791e8e96e4ef6816c2aeaea3532,c51d6be6-a137-435f-be48-71f7a9500549,2026-02-20T14:16:34.884Z,2026-02-25T12:17:45.205Z
BA003053,GP00,66328,ESCENARIOS,2,2026,0,BA003053~GP00~66328~ESCENARIOS~2026~2,f2aa988f19516aaaab09a716545009e7ff30efe5a654dcd066c9c42cafb8b2ba,c51d6be6-a137-435f-be48-71f7a9500549,2026-02-20T14:16:34.884Z,2026-02-25T12:17:45.205Z
BA019170,SP00,66274,STRATEGIC MATERIALS,5,2026,0.8350779713202164,BA019170~SP00~66274~STRATEGIC MATERIALS~2026~5,990dbe9d821bca553565c10895b579396b8ffd9b48db5e42b988f4f0864200db,c51d6be6-a137-435f-be48-71f7a9500549,2026-02-20T14:16:34.884Z,2026-02-25T12:17:45.205Z
